"USER_NO","USER_SE_CODE","USER_ID","PASSWORD","ORGAN_CODE","USER_NM","USER_STTUS_CODE","TMPR_PASSWORD_ISSU_YN","ACCES_CO","ACCES_DT","INTRCP_YN","REGISTER_NO","REGIST_DT","UPDUSR_NO","UPDT_DT"
1,"10",admin,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",엔티시스,"10",,0,"2020-03-20 13:30:07.0",N,1,,1,"2020-03-20 13:30:16.0"
7,"10",test01,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",어르신복지센터 담당자,"20",,0,,N,1,,1,"2020-03-20 13:29:22.0"
8,"10",test02,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",지역아동센터 담당자,"20",,0,,N,1,,0,"2020-03-20 13:29:16.0"
15,"10",test03,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",다함께돌봄,"20",,2,,N,8,,0,
19,"10",test04,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",어린이도서관담당자,"20",,0,,N,1,,0,"2020-03-20 13:29:19.0"
77,"10",test05,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",물리치료사,"20",,0,,N,1,,1,"2020-03-20 13:29:26.0"
78,"10",test_nt,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c",,테스트 admin계정,"10",,0,,N,1,,0,
80,"10",ttt,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",test,"20",,0,,N,1,"2019-10-30 14:41:36.0",1,"2019-10-30 14:49:47.0"
81,"10",test,"0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c","10",test,"20",,0,"2020-02-06 17:49:24.0",N,1,"2020-02-06 17:31:23.0",81,"2020-03-20 13:29:35.0"
82,"10",v,"4c94485e0c21ae6c41ce1dfe7b6bfaceea5ab68e40a2476f50208e526f506080","10",v,"20",,0,,N,1,"2020-02-17 09:39:36.0",1,"2020-02-17 09:39:44.0"
